INCHIKEY	Generation	NetworkSmiles	MinimumPathwayLength	MinimumPathwayEnergy
RBNPOMFGQQGHHO	G1	C(C(CO)O)(O)=O	NaN	NaN
WKRKESUWTIYINN	G2	C(C(CO)(C(C)O)O)(O)=O	NaN	NaN
YTCZJXDURLPWNQ	G3	C(C(C(CC(O)=O)O)C(C)O)=O	NaN	NaN
IHSFWOVWMRACIR	G3	C(C(C=O)C(CC(C)O)O)(O)=O	NaN	NaN
CPUSMWJJBISCJI	G3	C(C(C(C)O)C(C(CO)=O)O)=O	NaN	NaN
FDSHEHPBHWGLQY	G3	C(C(C(C)O)C(C=O)(CO)O)=O	NaN	NaN
RLPBKLOISADAAA	G3	C(C(C(C(CC(C)O)O)O)=O)=O	NaN	NaN
OTZRLOUETUNNPF	G3	C(C(C(CO)C(C)O)=O)(O)=O	NaN	NaN
BFZNNUQWZSQLIJ	G3	C(C(CO)C(C(O)=O)(C)O)=O	NaN	NaN
VWVQXOPQCDMBFD	G3	C(C(CC(C)O)(CC=O)O)(O)=O	3	-129.67000000000002
DKTZGQOJHCXEEP	G3	C(C(C(C(C)O)C(C)O)=O)(O)=O	3	-131.98000000000002
DMMYGKQJPXLURW	G3	C(C(C)(CC(CC=O)O)O)(O)=O	3	-129.66000000000003
MGQBJYDCWJLMCR	G3	C(C(C(C)O)C(C(O)=O)(C)O)=O	3	-127.33
CLJFVEVVBOUFBJ	G3	C(C(CC(CC(C)O)O)=O)(O)=O	3	-134.31
WPTOKOVIJAZOHE	G3	C(C(C)(CCO)O)(O)=O	NaN	NaN
XFTRTWQBIOMVPK	G3	C(C(C)(CC(O)=O)O)(O)=O	NaN	NaN
OJSKBWPAXWEHAA	G3	C(C(CO)(CO)O)(O)=O	NaN	NaN
RADXXSNGCSTPSV	G3	C(C(C(CC(C)O)O)O)(O)=O	NaN	NaN
LOUGYXZSURQALL	G3	C(C(C(C)O)O)(O)=O	NaN	NaN
SLQLBHNBWFDOTA	G3	C(C(C=C)(CO)O)(O)=O	NaN	NaN
YAXKTBLXMTYWDQ	G3	CC(C(CO)O)O	NaN	NaN
CHUMGDDVFASTDV	G3	C(C(C(C(C)O)O)O)(O)=O	NaN	NaN
UXJDESUVPBNUTB	G3	C(C(C)(C(CO)O)O)(O)=O	NaN	NaN
