Generation	Smiles	Inchi	Energy	cLogP	cLogS	H-Acceptors	H-Donors	Polar Surface Area	Druglikeness	No. Heteroatoms 	VDW Volume	Molecular Weight	Molecular Formula	No. Carbons	No. Hydrogens	No. Oxygens	Heteroatoms/Carbons	H/C	O/C	ESOL
G1	C(C(C(CO)O)O)=O	YTBSYETUWUMLBZ	53.0145	-2.2233	0.073	4	3	77.76	-3.2748	4	114.61	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.035171585482697
G2	C(C(C(C(CO)O)O)O)=O	PYMYPHUHKUWMLA	79.1178	-2.7907	0.202	5	4	97.99	-2.8744	5	142.57	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.3140384497696014
G2	C(CO)(C(CO)O)=O	UQPHVQVXLPRNCX	61.7703	-2.0422	0.237	4	3	77.76	1.2188	4	112.68	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.0339849071589513
G2	C(C(CO)O)O	PEDCQBHIVMGVHV	34.6111	-1.4436	0.159	3	3	60.69	-3.0756	3	92.853	92.047344116	C3H8O3	3	8	3	1.0	2.6666666666666665	1.0	0.8962009680453066
G2	C(C(C(CO)O)O)O	UNXHWFMMPAWVPI	67.858	-2.011	0.288	4	4	80.92	-1.1346	4	120.57	122.0579088	C4H10O4	4	10	4	1.0	2.5	1.0	1.1750678323322115
G2	C(C(CO)O)(O)=O	RBNPOMFGQQGHHO	26.2205	-1.7932	0.177	4	3	77.76	-0.2455	4	94.172	106.02660867200001	C3H6O4	3	6	4	1.3333333333333333	2.0	1.3333333333333333	0.7352625114512632
G2	C(C(C(CO)O)O)(O)=O	JPIJQSOTBSSVTP	55.6728	-2.3606	0.306	5	4	97.99	0.99073	5	119.54	136.037173356	C4H8O5	4	8	5	1.25	2.0	1.25	1.0141293757381682
G2	C(C(CO)(CO)O)=O	OUEKYUKJSLEOIU	407.049	-2.202	0.342	4	3	77.76	-4.7871	4	106.5	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	1.0339849071589513
G2	C(C(CO)(C(CO)O)O)=O	XUSNIIKGKKSRDZ	80.7766	-2.7694	0.471	5	4	97.99	-2.7515	5	142.77	150.05282342	C5H10O5	5	10	5	1.0	2.0	1.0	1.312851771445856
G2	C1C(C(C(O)O1)O)O	FMAORJIQYMIRHF	770.821	-1.5087	-0.007	4	3	69.92	-3.7555	4	109.35	120.04225873600001	C4H8O4	4	8	4	1.0	2.0	1.0	0.9080774686863653
G3	C(C(C(C(CO)=O)O)O)=O	XIIKTJZKWRJKSI	80.4566	-2.8219	0.151	5	3	94.83	-1.1285	5	136.27	148.037173356	C5H8O5	5	8	5	1.0	1.6	1.0	1.1729555245963417
G3	C(CC(C(C(CO)=O)O)O)=O	DPJVCISCLBZLDP	60.8729	-2.3675	-0.119	5	3	94.83	-0.51952	5	153.7	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7943070996310865
G3	C(C(C=O)C(CO)(CO)O)=O	HWDQZMAZCTUFGO	24.6572	-2.6683	0.204	5	3	94.83	-4.2201	5	153.7	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.8999956378396644
G3	C(C(C)(C(C(CO)=O)O)O)=O	HCDKHGUYCIRFGC	86.0292	-2.4413	0.042	5	3	94.83	-0.52167	5	151.98	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7908555540651285
G3	C(C)(C(C(C(CO)=O)O)O)=O	KFHNTUHHTDAEOF	90.2161	-2.2815	-0.063	5	3	94.83	1.7739	5	149.85	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7908555540651285
G3	C(C(CC(CO)(CO)O)=O)=O	GBYNVYGBOCCFCK	62.7861	-2.3462	0.15	5	3	94.83	-7.593	5	155.64	162.05282342	C6H10O5	6	10	5	0.8333333333333334	1.6666666666666667	0.8333333333333334	0.7931204213073412
G3	C(CO)(C(C(C)O)O)=O	MRKRITSFTIHTAQ	62.148	-1.6829	-0.141	4	3	77.76	0.76382	4	132.86	134.0579088	C5H10O4	5	10	4	0.8	2.0	0.8	0.6530716149514837
G3	C(CC(CO)(CO)O)=O	RLJYTLNHFAJLAE	40.1369	-1.7476	0.072	4	3	77.76	-7.1366	4	133.07	134.0579088	C5H10O4	5	10	4	0.8	2.0	0.8	0.6553364821936964
